user_id,model,choice_model,iteration,country,user_count,jsd,bin_jsd,us_proportion,local_proportion,interaction_us_proportion,interaction_local_proportion,interaction_jsd,interaction_bin_jsd,jsd_summarized,interaction_jsd_summarized
,BPR,consume_all,1,FI,22,0.631871009022483,0.32977449953058874,0.5636363636363636,0.0,0.5194444444444445,0.002777777777777778,0.0,0.0,0.3424991419404445,0.0
,BPR,consume_all,1,FR,13,0.547276811836457,0.3820080141100593,0.5384615384615384,0.03076923076923077,0.44642857142857145,0.10714285714285714,0.0,0.0,0.2962572407694092,0.0
,BPR,consume_all,1,GR,5,0.638076925201305,0.4644489500567624,0.56,0.0,0.4351145038167939,0.0,0.0,0.0,0.29562110890852433,0.0
,BPR,consume_all,1,HR,3,0.6607443424084343,0.43167770781054654,0.4666666666666667,0.0,0.38095238095238093,0.0,0.0,0.0,0.3342083889333238,0.0
,BPR,consume_all,1,HU,5,0.5381267697160776,0.5266402385598475,0.54,0.0,0.654320987654321,0.0,0.0,0.0,0.24729276687835994,0.0
,BPR,consume_all,1,ID,6,0.6702379339849847,0.3223733914891525,0.4166666666666667,0.0,0.5572519083969466,0.0,0.0,0.0,0.2602878374104876,0.0
,BPR,consume_all,1,IE,2,0.47145841487353213,0.3172683483583567,0.65,0.0,0.46774193548387094,0.0,0.0,0.0,0.25178317023382546,0.0
,BPR,consume_all,1,IR,1,1.0,0.702440464210416,0.6,0.0,0.0,0.0,0.0,0.0,0.6291387780159147,0.0
,BPR,consume_all,1,IT,10,0.6981377947537702,0.36298008337735715,0.53,0.01,0.38461538461538464,0.08653846153846154,0.0,0.0,0.37744162452647345,0.0
,BPR,consume_all,1,JP,7,0.6004363417883603,0.36468134414265246,0.5,0.0,0.2636363636363636,0.0,0.0,0.0,0.2141002192038683,0.0
,BPR,consume_all,1,KG,1,0.7862737429356357,0.8707908228691708,0.3,0.0,0.5,0.0,0.0,0.0,0.17408372939284789,0.0
,BPR,consume_all,1,KR,1,0.6326091526370033,0.06084777351585136,0.6,0.0,0.14285714285714285,0.0,0.0,0.0,0.412857104960461,0.0
,BPR,consume_all,1,KZ,1,0.40884471044509046,0.30805756762006226,0.6,0.0,0.47368421052631576,0.0,0.0,0.0,0.10772303229856132,0.0
,BPR,consume_all,1,LB,1,0.6331337213201165,0.27753142262740144,0.6,0.0,0.1276595744680851,0.0,0.0,0.0,0.42994049658082434,0.0
,BPR,consume_all,1,LT,3,0.6128498815769254,0.2796035519599651,0.3,0.0,0.20967741935483872,0.0,0.0,0.0,0.08345458010425601,0.0
,BPR,consume_all,1,LV,6,0.6474063553281101,0.3550605991521148,0.5833333333333334,0.0,0.4766355140186916,0.0,0.0,0.0,0.2450543010588728,0.0
,BPR,consume_all,1,MK,1,0.7409938823243875,0.7692990341332574,0.4,0.0,0.14285714285714285,0.0,0.0,0.0,0.24939005404266928,0.0
,BPR,consume_all,1,MU,1,0.5937506142216714,0.3713830650016637,0.4,0.0,0.75,0.0,0.0,0.0,0.3042924632097959,0.0
,BPR,consume_all,1,MX,9,0.612951964475815,0.3000559514071988,0.43333333333333335,0.0,0.6189024390243902,0.06402439024390244,0.0,0.0,0.28543578222469373,0.0
,BPR,consume_all,1,NL,18,0.6146338976307936,0.2891891971420019,0.4166666666666667,0.016666666666666666,0.4845360824742268,0.013745704467353952,0.0,0.0,0.33981005020219246,0.0
,BPR,consume_all,1,NO,10,0.6232276216435925,0.4453523869811965,0.56,0.0,0.6153846153846154,0.0,0.0,0.0,0.3196333129253858,0.0
,BPR,consume_all,1,NZ,1,0.3875686291488444,0.3386176323016849,0.6,0.0,0.95,0.0,0.0,0.0,0.37485871102016743,0.0
,BPR,consume_all,1,PE,1,0.7618164163214882,0.23951402996582788,0.3,0.0,0.6222222222222222,0.0,0.0,0.0,0.2770518551813762,0.0
,BPR,consume_all,1,PL,56,0.6651786264278081,0.3459496478087594,0.525,0.0017857142857142857,0.3469055374592834,0.017915309446254073,0.0,0.0,0.35341151504429924,0.0
,BPR,consume_all,1,PM,1,0.3597988061849866,0.25200122756471494,0.4,0.0,0.4411764705882353,0.0,0.0,0.0,0.03542735203412567,0.0
,BPR,consume_all,1,PT,4,0.5076933908683411,0.4058449052069064,0.5,0.0,0.5081967213114754,0.0,0.0,0.0,0.11607455594767405,0.0
,BPR,consume_all,1,PY,1,0.7062819236139589,0.43845303932348306,0.2,0.0,0.5882352941176471,0.0,0.0,0.0,0.34312171162077243,0.0
,BPR,consume_all,1,RO,1,0.7405912794164942,0.45192238851343347,0.5,0.0,0.23076923076923078,0.0,0.0,0.0,0.23955651651643747,0.0
,BPR,consume_all,1,RS,3,0.6428451974514856,0.20466451594564372,0.3,0.0,0.38461538461538464,0.0,0.0,0.0,0.20505821373790223,0.0
,BPR,consume_all,1,RU,46,0.6545459749203202,0.3199660056097526,0.5130434782608696,0.002173913043478261,0.40186915887850466,0.0,0.0,0.0,0.2661252224610497,0.0
